block_time,on_chain_tip_lamports,signature,success,slot_rpc,block_time_rpc,fee_lamports_rpc,compute_units_rpc,success_rpc,instruction_count,accounts_count,validator_identity,jito_tip_lamports,bundle_id,on_chain_tip_sol,jito_tip_sol,fee_sol,profit_lamports,profit_sol,subsidy_percentage,tip_per_cu,fee_per_cu,is_success,is_jito_bundle,timestamp,hour,minute,latency_seconds
2025-08-10 16:46:40.000 UTC,,3EGCbXtpvm3c2LRs1eeoUxKgTF5rLoyR5xPnbFwEGPREQ4JF7mQDuaVUtvUZScm4CAVNRYYvvos4bDwfYdq97ji,True,359158648,1754844400,105000,73244,True,3,21,,,,0.0,0.0,0.000105,0,0.0,,,1.433564524056578,True,False,2025-08-10 16:46:40,16,46,1858
2025-08-10 16:43:07.000 UTC,,2SxXFsH3quKsVZmhRkPuXfZwiKUqu57YY3aSHrS6dUBr13MZjzWW1pGLY2KUA82N2HDnRdNt2qtRGk4LxivdgFpt,True,359158108,1754844187,105000,90981,True,3,21,,,,0.0,0.0,0.000105,0,0.0,,,1.1540871170903815,True,False,2025-08-10 16:43:07,16,43,2071
2025-08-10 16:21:50.000 UTC,,3GPRdA6KK9qaDkJunLnZWW3JLMKSZppmaWUUaY1HwbHaBc9GWpdj3p3MjpKZK8CeZnT8HphkLNYJUhntZSZJowJQ,False,359154829,1754842910,505000,45811,False,3,21,,,,0.0,0.0,0.000505,0,0.0,,,11.023553295060138,False,False,2025-08-10 16:21:50,16,21,3348
2025-08-10 15:53:31.000 UTC,,4Hv1ENDFYZjJonpDyn3XawQjJzZmSsMi5i2n3BQmMW9vYkYHu48886fA118fSjkyB2RDphx1Ejephk3d5yPBPdYV,False,359150485,1754841211,505000,15161,False,3,20,,,,0.0,0.0,0.000505,0,0.0,,,33.30914847305587,False,False,2025-08-10 15:53:31,15,53,5047
2025-08-10 15:46:30.000 UTC,,KoWNwnKTcjkoLutH1iamf6QUExRchrViQc1uNnfg2e5ypphgGmAiknyC44u3fP8jubSLvyvqpdNWnHoJ8C2MDza,True,359149404,1754840790,105000,71761,True,3,21,,,,0.0,0.0,0.000105,0,0.0,,,1.4631903122866181,True,False,2025-08-10 15:46:30,15,46,5468
2025-08-10 15:42:21.000 UTC,,5Aa3j5YLzR2aqVxvfxuK2dvEewjterNDX3Ar5JBtj8D16bRLFUkt8T31aWHa6DQox5fuSQnH9DdCagfvXyCasaH8,True,359148762,1754840541,105000,89467,True,3,21,,,,0.0,0.0,0.000105,0,0.0,,,1.1736170878647993,True,False,2025-08-10 15:42:21,15,42,5717
2025-08-10 15:41:14.000 UTC,,5m9x6YsFZdTZ3ujxpN2DxDJnYy8HogQNdZshqUmSgHwFVyDsD2r7JnSnu3tfnAU1cYgLPc8Uw4UbXfZatwqyiNKW,True,359148587,1754840474,505000,89480,True,3,21,,,,0.0,0.0,0.000505,0,0.0,,,5.643719266875279,True,False,2025-08-10 15:41:14,15,41,5784
2025-08-10 15:21:51.000 UTC,,2RJWwA9iQFtzFZ3FNQhidxkni37QAkUXeY732nuwcoRVZR1rrHuch3pq2scUUEW3pnXHvXAH5sZpeRVtRK8FGhi7,False,359145612,1754839311,505000,45828,False,3,21,,,,0.0,0.0,0.000505,0,0.0,,,11.019464083093306,False,False,2025-08-10 15:21:51,15,21,6947
2025-08-10 14:30:13.000 UTC,,78ZBktSNnRGNYF24uYF7GCzn1xWdWqe2na9z7uXxTeEdjKP1eT8NdV3XXYwFrPUuPF7MY4FWg51n2eqbnmcTGuW,False,359137706,1754836213,505000,24333,False,3,14,,,,0.0,0.0,0.000505,0,0.0,,,20.75370895491719,False,False,2025-08-10 14:30:13,14,30,10045
2025-08-10 14:12:49.000 UTC,,48V61aman9q3a1Ca5s9aAZSH6APpPMEC7kcSryBKKMvh41NF7g7dnAJNEN144JEqqk4R88gjcsPg2z7sAo3sYxvE,False,359135033,1754835169,505000,15161,False,3,20,,,,0.0,0.0,0.000505,0,0.0,,,33.30914847305587,False,False,2025-08-10 14:12:49,14,12,11089
2025-08-10 13:57:40.000 UTC,,5cF1dr8FrTFmbo21hM4P5UTWvywU6KUUmRJVHPwubJcQwRaWtqFjkkcdpwSnuYCnaNzpgoHYTq6fxFjGF6CZZUAJ,False,359132707,1754834260,505000,45828,False,3,21,,,,0.0,0.0,0.000505,0,0.0,,,11.019464083093306,False,False,2025-08-10 13:57:40,13,57,11998
2025-08-10 13:45:54.000 UTC,,4rAJKXsj5nMeSGGcdADvrg7Ur3qaPTD2gEv1sEmhmMw9BRMYD1VwwqzcM6nG9fzuDzDvC1r56BGpYfaRXLUnCM1D,False,359130897,1754833554,505000,24333,False,3,14,,,,0.0,0.0,0.000505,0,0.0,,,20.75370895491719,False,False,2025-08-10 13:45:54,13,45,12704
2025-08-10 13:44:39.000 UTC,,4KRu8Lpcs3ZEd4xhwSKKsz7Tw6gd6EW1tbNjw6TN9LvoTWHBs9chEcSyNu2CmCQRcq2SVUVtquD7R2w8vurzYDyS,False,359130709,1754833479,505000,24013,False,3,14,,,,0.0,0.0,0.000505,0,0.0,,,21.030275267563404,False,False,2025-08-10 13:44:39,13,44,12779
2025-08-10 13:40:56.000 UTC,,4HDKSfnECvPiianiyXM4wXNcEeeujXcVrFZhmvXsmRe2Wu7786Ez298XRxkpsecmwX6sikthk8HPW33r738AFN7W,False,359130132,1754833256,505000,24332,False,3,14,,,,0.0,0.0,0.000505,0,0.0,,,20.7545618938024,False,False,2025-08-10 13:40:56,13,40,13002
2025-08-10 13:04:34.000 UTC,,25xsrhRuyD5axrK7PEjj19EMYNJSVA2rpRiKhFh2KwxmqmyiLTQmzBXqaQvJofGhfovzAkU1zn9GvocTEQGrxMgV,False,359124554,1754831074,505000,45828,False,3,21,,,,0.0,0.0,0.000505,0,0.0,,,11.019464083093306,False,False,2025-08-10 13:04:34,13,4,15184
2025-08-10 12:40:12.000 UTC,,qtuah7SAYLtbZnNqFhQMAHqwqMJsDAtZzkqvYBvvMvpw54rSLUayUBfprY5tPqD2gyfqSvPZ1fiiAHg7cLw1KGa,True,359120831,1754829612,105000,29616,True,3,20,,,,0.0,0.0,0.000105,0,0.0,,,3.5453808752025933,True,False,2025-08-10 12:40:12,12,40,16646
2025-08-10 12:40:08.000 UTC,,4x1GmX2AwW1Tm1qt8MgPEQiSTuyA8PFRkF7xxqtoDzbenV7ygSu9fdCMxMzE172w5k9k4TA9ce9sUqth8wSMhqPp,False,359120820,1754829608,105000,15160,False,3,20,,,,0.0,0.0,0.000105,0,0.0,,,6.926121372031663,False,False,2025-08-10 12:40:08,12,40,16650
2025-08-10 12:39:58.000 UTC,,4QqwNZoA6EK76Ej4rzUii7bCrBjLeEaoz77NANHWNCeHLH1GH3PvkDotWa6o9BK3c5S4nVgdLr9Bk8YfYbdT5g4X,True,359120796,1754829598,105000,28805,True,3,20,,,,0.0,0.0,0.000105,0,0.0,,,3.6452004860267313,True,False,2025-08-10 12:39:58,12,39,16660
2025-08-10 12:39:42.000 UTC,,29WxCrgPP7wBRsQ4QEY4K6VDi45ozmcZzCWd2tQNeoyp4A4Ted6xnjMjF98vCEjGnCGVtV2dM3ePC9nGHV6GR5Cd,True,359120754,1754829582,505000,28806,True,3,20,,,,0.0,0.0,0.000505,0,0.0,,,17.531069915989725,True,False,2025-08-10 12:39:42,12,39,16676
2025-08-10 12:37:41.000 UTC,,2zPK27U7PFmWUivgs89Z7qspf2SDnM5jX65S3JnFvTWSQbDSogT5149cG2j1aRMEzUCxuj5DnTH4R6CzfgNNT8DF,True,359120449,1754829461,105000,29596,True,3,20,,,,0.0,0.0,0.000105,0,0.0,,,3.5477767265846736,True,False,2025-08-10 12:37:41,12,37,16797
2025-08-10 12:34:53.000 UTC,,3L7xwR2pUvhrHApGAMJM82PWKht2ZcSNNcy3bHVXeMvkAmLhaHuPQedd6mdyTMcfvPVPCpHkpzsvxqTtLuCiByas,True,359120021,1754829293,105000,74761,True,3,21,,,,0.0,0.0,0.000105,0,0.0,,,1.4044755955645323,True,False,2025-08-10 12:34:53,12,34,16965
2025-08-10 12:34:49.000 UTC,,3K1qjY6BKRYtp5DpH7Hyfma4LfTbef7FFFP8NCuTCcTXbypafcNAAWgPUqmrgpHMvVjAPaYycLJV3XDdaKnzTqaK,True,359120011,1754829289,505000,92498,True,3,21,,,,0.0,0.0,0.000505,0,0.0,,,5.459577504378473,True,False,2025-08-10 12:34:49,12,34,16969
2025-08-10 12:34:45.000 UTC,,gdXHmt7Ltw5ESeG7xhGH1S4VgCR8bCASqW9m1rCFRZ1UziPtnBthBLdNGMsMQAgJPJfE8av2GNE8EuAdKEp2nm2,False,359120000,1754829285,505000,45873,False,3,21,,,,0.0,0.0,0.000505,0,0.0,,,11.008654328254092,False,False,2025-08-10 12:34:45,12,34,16973
2025-08-10 12:27:48.000 UTC,,4mjziRkXhTzJ3nWxuNCyfqn44C4zKwkJ1jcGYN5bye3e3zN8wybL2gVbfyodEkRyrpWpjfFsDvdsDKiarwceqd2G,True,359118951,1754828868,505000,29627,True,3,20,,,,0.0,0.0,0.000505,0,0.0,,,17.04526276707058,True,False,2025-08-10 12:27:48,12,27,17390
2025-08-10 12:03:45.000 UTC,,5juF499az3GNgfoGtpE6fXkXuiwBh3LJuNMBxYdMUp9t6Rq59iNs6qWdhYdd9DvRJnPcqJGwq8bxFLHh6TSmkuow,False,359115253,1754827425,505000,24294,False,3,14,,,,0.0,0.0,0.000505,0,0.0,,,20.787025603029555,False,False,2025-08-10 12:03:45,12,3,18833
2025-08-10 11:30:21.000 UTC,,4Nt4cYZ23J3x8vqELF7Fw6V4MkVyZJBijEQFWMgGd3Yp9zUqVZWkx5rnsTK7p4iHBMffDqtb2SRuCSCfXntprJTA,False,359110148,1754825421,505000,24292,False,3,14,,,,0.0,0.0,0.000505,0,0.0,,,20.78873703276799,False,False,2025-08-10 11:30:21,11,30,20837
2025-08-10 11:29:07.000 UTC,,5TFiPzTZcbdRoYN6ZAFzX5KcHsisf9ZQMeDr26nEairmE2honSUmRNYZ1CCRrNma4vi81tP7VnUWuGbpvmErXagf,False,359109964,1754825347,505000,15159,False,3,20,,,,0.0,0.0,0.000505,0,0.0,,,33.31354310970381,False,False,2025-08-10 11:29:07,11,29,20911
